12,1
23,9
27,14
29,5
32,3
35,3
36,1
47,78
49,2
51,10
53,4
54,13
56,6
59,1
60,2
71,258
73,2
74,23
75,13
77,1
78,17
80,8
83,8
84,6
95,314
97,1
98,8
99,10
102,25
104,21
107,6
108,9
119,629
122,13
123,9
125,1
126,19
128,17
131,5
132,10
143,873
146,7
147,5
150,15
152,26
155,5
156,9
167,4431
170,9
174,7
176,4
179,1
180,1
191,1320
195,1
197,1
200,1
215,24
239,11
263,6
287,3
335,5
359,12
383,6
407,1
431,2
444,1
455,1
503,4
527,2
551,5
575,3
599,1
623,2
650,1
671,3
678,1
695,1
719,18
743,9
767,9
791,1
815,1
863,1
887,5
983,1
1007,1
1031,3
1151,1
1199,1
1343,1
2135,1
2303,1
2375,1
2567,2
2615,1
2687,1
2735,1
2831,1
2927,1
3047,1
3383,1
3407,1
4247,1
4295,1
4415,8
4439,3
